Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
1;5;CFA Bélliard ALIMENTATION-HOTELLERIE;Professionnelle;Non concerné
6;7;EREA CROCE SPINELLI;Professionnelle;Non
0;1;EREA CROCE SPINELLI;Professionnelle;Non concerné
7;7;EREA CROCE SPINELLI;Professionnelle;Oui
0;1;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Professionnelle;Non concerné
31;32;Lycée D'Alembert-Cuir;Professionnelle;Non
22;42;Lycée D'Alembert-Cuir;Professionnelle;Non concerné
26;26;Lycée D'Alembert-Cuir;Professionnelle;Oui
15;17;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non
2;9;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non concerné
15;16;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Oui
3;4;Lycée des Métiers Dorian;Professionnelle;Non
3;22;Lycée des Métiers Dorian;Professionnelle;Non concerné
4;5;Lycée des Métiers Dorian;Professionnelle;Oui
2;4;Lycée Des métiers Jean DROUANT;Professionnelle;Non
2;17;Lycée Des métiers Jean DROUANT;Professionnelle;Non concerné
19;19;Lycée Des métiers Jean DROUANT;Professionnelle;Oui
19;20;Lycée Diderot;Professionnelle;Non
2;6;Lycée Diderot;Professionnelle;Non concerné
3;4;Lycée Diderot;Professionnelle;Oui
5;5;Lycée Edgar Quinet;Professionnelle;Non
3;16;Lycée Edgar Quinet;Professionnelle;Non concerné
45;51;Lycée Edgar Quinet;Professionnelle;Oui
30;34;Lycée Elisa Lemonnier;Professionnelle;Non
11;47;Lycée Elisa Lemonnier;Professionnelle;Non concerné
23;26;Lycée Elisa Lemonnier;Professionnelle;Oui
7;7;Lycée Fresnel;Professionnelle;Non
1;1;Lycée Fresnel;Professionnelle;Non concerné
11;11;Lycée Fresnel;Professionnelle;Oui
29;32;Lycée Jacques Monod;Professionnelle;Non
15;34;Lycée Jacques Monod;Professionnelle;Non concerné
34;35;Lycée Jacques Monod;Professionnelle;Oui
18;22;Lycée Jean Lurcat;Professionnelle;Non
0;13;Lycée Jean Lurcat;Professionnelle;Non concerné
25;27;Lycée Jean Lurcat;Professionnelle;Oui
5;7;Lycée Léonard de Vinci;Professionnelle;Non
2;5;Lycée Léonard de Vinci;Professionnelle;Non concerné
11;11;Lycée Léonard de Vinci;Professionnelle;Oui
35;41;Lycée Louis Armand;Professionnelle;Non
1;13;Lycée Louis Armand;Professionnelle;Non concerné
31;31;Lycée Louis Armand;Professionnelle;Oui
0;1;Lycée Lucas De Nehou;Professionnelle;Non
0;8;Lycée Lucas De Nehou;Professionnelle;Non concerné
29;29;Lycée Martin-Nadaud;Professionnelle;Non
3;15;Lycée Martin-Nadaud;Professionnelle;Non concerné
33;33;Lycée Martin-Nadaud;Professionnelle;Oui
19;20;Lycée Maximilien Vox;Professionnelle;Non
2;4;Lycée Maximilien Vox;Professionnelle;Non concerné
13;13;Lycée Maximilien Vox;Professionnelle;Oui
3;6;Lycée Paul Poiret;Professionnelle;Non
3;7;Lycée Paul Poiret;Professionnelle;Non concerné
7;7;Lycée Paul Poiret;Professionnelle;Oui
5;8;Lycée professionnel Armand Carrel;Professionnelle;Non
0;5;Lycée professionnel Armand Carrel;Professionnelle;Non concerné
46;47;Lycée professionnel Armand Carrel;Professionnelle;Oui
35;41;Lycée professionnel Beaugrenelle;Professionnelle;Non
0;14;Lycée professionnel Beaugrenelle;Professionnelle;Non concerné
40;41;Lycée professionnel Beaugrenelle;Professionnelle;Oui
5;6;Lycée professionnel BRASSAI;Professionnelle;Non
5;20;Lycée professionnel BRASSAI;Professionnelle;Non concerné
11;12;Lycée professionnel BRASSAI;Professionnelle;Oui
13;20;Lycée professionnel Camille Jenatzy;Professionnelle;Non
5;32;Lycée professionnel Camille Jenatzy;Professionnelle;Non concerné
17;18;Lycée professionnel Camille Jenatzy;Professionnelle;Oui
25;32;Lycée professionnel Charles De Gaulle;Professionnelle;Non
2;17;Lycée professionnel Charles De Gaulle;Professionnelle;Non concerné
22;23;Lycée professionnel Charles De Gaulle;Professionnelle;Oui
14;22;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non
3;38;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non concerné
17;18;Lycée professionnel Chenneviere Malezieux;Professionnelle;Oui
30;30;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non
1;7;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non concerné
11;11;Lycée professionnel Claude Anthime Corbon;Professionnelle;Oui
9;9;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non
22;33;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non concerné
29;29;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Oui
2;2;Lycée professionnel Edmond Rostand;Professionnelle;Non
3;7;Lycée professionnel Edmond Rostand;Professionnelle;Non concerné
9;11;Lycée professionnel Erik Satie;Professionnelle;Non
1;7;Lycée professionnel Erik Satie;Professionnelle;Non concerné
55;56;Lycée professionnel Erik Satie;Professionnelle;Oui
4;4;Lycée professionnel Etienne Dolet;Professionnelle;Non
11;17;Lycée professionnel Etienne Dolet;Professionnelle;Non concerné
46;47;Lycée professionnel Etienne Dolet;Professionnelle;Oui
45;47;Lycée professionnel Galilee;Professionnelle;Non
4;15;Lycée professionnel Galilee;Professionnelle;Non concerné
20;20;Lycée professionnel Galilee;Professionnelle;Oui
19;21;Lycée professionnel Gaston Bachelard;Professionnelle;Non
0;12;Lycée professionnel Gaston Bachelard;Professionnelle;Non concerné
9;9;Lycée professionnel Gaston Bachelard;Professionnelle;Oui
15;17;Lycée professionnel Gustave Eiffel;Professionnelle;Non
3;17;Lycée professionnel Gustave Eiffel;Professionnelle;Non concerné
31;32;Lycée professionnel Gustave Eiffel;Professionnelle;Oui
34;44;Lycée professionnel Gustave Ferrie;Professionnelle;Non
3;10;Lycée professionnel Gustave Ferrie;Professionnelle;Non concerné
37;38;Lycée professionnel Gustave Ferrie;Professionnelle;Oui
23;30;Lycée professionnel Hector Guimard;Professionnelle;Non
1;10;Lycée professionnel Hector Guimard;Professionnelle;Non concerné
13;15;Lycée professionnel Hector Guimard;Professionnelle;Oui
3;6;Lycée professionnel Hôtelier Belliard;Professionnelle;Non
0;9;Lycée professionnel Hôtelier Belliard;Professionnelle;Non concerné
3;3;Lycée professionnel Hôtelier Belliard;Professionnelle;Oui
12;20;Lycée professionnel Marcel Deprez;Professionnelle;Non
6;24;Lycée professionnel Marcel Deprez;Professionnelle;Non concerné
53;58;Lycée professionnel Marcel Deprez;Professionnelle;Oui
34;35;Lycée professionnel Maria Deraismes;Professionnelle;Non
2;24;Lycée professionnel Maria Deraismes;Professionnelle;Non concerné
28;29;Lycée professionnel Maria Deraismes;Professionnelle;Oui
7;7;Lycée professionnel Marie Laurencin;Professionnelle;Non
7;9;Lycée professionnel Marie Laurencin;Professionnelle;Non concerné
15;15;Lycée professionnel Marie Laurencin;Professionnelle;Oui
3;7;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Non concerné
1;1;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Oui
27;30;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non
5;19;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non concerné
20;20;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Oui
5;5;Lycée professionnel Octave Feuillet;Professionnelle;Non
2;3;Lycée professionnel Octave Feuillet;Professionnelle;Non concerné
7;7;Lycée professionnel Octave Feuillet;Professionnelle;Oui
42;48;Lycée professionnel Pierre Lescot;Professionnelle;Non
2;34;Lycée professionnel Pierre Lescot;Professionnelle;Non concerné
32;33;Lycée professionnel Pierre Lescot;Professionnelle;Oui
23;25;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non
8;32;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non concerné
16;16;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Oui
28;35;Lycée professionnel Rene Cassin;Professionnelle;Non
1;41;Lycée professionnel Rene Cassin;Professionnelle;Non concerné
26;26;Lycée professionnel Rene Cassin;Professionnelle;Oui
10;19;Lycée professionnel Suzanne Valadon;Professionnelle;Non
0;28;Lycée professionnel Suzanne Valadon;Professionnelle;Non concerné
24;24;Lycée professionnel Suzanne Valadon;Professionnelle;Oui
57;67;Lycée professionnel Theophile Gautier;Professionnelle;Non
3;59;Lycée professionnel Theophile Gautier;Professionnelle;Non concerné
31;31;Lycée professionnel Theophile Gautier;Professionnelle;Oui
22;27;Lycée professionnel Turquetil;Professionnelle;Non
6;33;Lycée professionnel Turquetil;Professionnelle;Non concerné
27;27;Lycée professionnel Turquetil;Professionnelle;Oui
8;14;Lycée Raspail;Professionnelle;Non
2;44;Lycée Raspail;Professionnelle;Non concerné
9;9;Lycée Raspail;Professionnelle;Oui
23;27;Lycée Simone Weil;Professionnelle;Non
1;20;Lycée Simone Weil;Professionnelle;Non concerné
23;24;Lycée Simone Weil;Professionnelle;Oui
